Epoch,Train_Loss,Val_PSNR,Val_SSIM
1,0.0379,27.886253904169777,0.823203516627866
2,0.0337,29.441738396864377,0.8536719276534541
3,0.0325,28.84333366167298,0.8505308245539094
4,0.0320,29.743082370137387,0.8539222975862775
5,0.0318,29.75987508869006,0.860223638741114
6,0.0314,28.97506639580207,0.8498728570137033
7,0.0315,30.342626470635274,0.8715136367537741
8,0.0312,30.070753875020536,0.8697383277691754
9,0.0316,29.74730321726056,0.8624550410409895
10,0.0312,29.21171080947922,0.8559885533561207
11,0.0313,30.05432137265799,0.8660506594708375
12,0.0307,30.58657912178205,0.8735583851148472
13,0.0312,29.6092875228911,0.8493163388540472
14,0.0309,30.076999491066367,0.860165466946346
15,0.0306,30.47151374717379,0.8698328242597877
16,0.0306,28.979019510488428,0.849364834471304
17,0.0307,28.542696660167607,0.8408511244646643
18,0.0306,29.377974284938947,0.8643333895142677
19,0.0308,29.573159525088286,0.8569659387467253
20,0.0304,29.639279328687035,0.8650794245097617
21,0.0303,29.852084801897917,0.8664222809106208
22,0.0306,30.3168874029281,0.8669960413696493
23,0.0306,30.082107880266236,0.872595854838101
24,0.0305,30.260944657773457,0.8690954335398915
25,0.0306,30.162169379750857,0.8638909702518949
26,0.0303,29.717034514299886,0.856543667660327
27,0.0303,29.51961830731696,0.8584734148753658
28,0.0306,29.061953313066077,0.8501252988253253
29,0.0301,30.009748976961827,0.8525648333934367
30,0.0305,30.00569802640212,0.8574362339879806
31,0.0304,29.689639442197173,0.863302703369965
32,0.0303,30.102425565419512,0.8698554931021039
33,0.0299,29.49789493945857,0.8598373767742781
34,0.0305,29.956813325014124,0.870699641873796
35,0.0302,29.119396768360662,0.8602927183980599
36,0.0300,29.646510668508586,0.8616314040283665
37,0.0303,30.562081674486,0.8690817912118848
38,0.0299,31.215262174982502,0.8821044249838086
39,0.0303,30.75368786980854,0.8822027174719815
40,0.0300,29.35175667348111,0.8520366670345584
41,0.0301,31.045224952620142,0.8739312657527383
42,0.0302,30.134896717576066,0.8778343372739427
43,0.0299,29.759341104579427,0.8571362199620496
44,0.0303,30.72582472352331,0.8715023358357549
45,0.0304,29.411764220021006,0.8514722374383582
46,0.0301,29.940685752611003,0.864271454589567
47,0.0301,29.84493387742712,0.8657943495801723
48,0.0299,31.106236356836316,0.8731121302481805
49,0.0300,30.156177244822917,0.8695836888696903
50,0.0299,29.885508671680054,0.8629708000651907
51,0.0297,30.263742443701076,0.8654239203626699
52,0.0300,30.42243854035774,0.870227570748008
53,0.0300,30.71464986523303,0.8737984691062528
54,0.0298,30.37202627695386,0.8656003057820649
55,0.0299,31.167653652656977,0.8789402601494468
56,0.0296,30.89307641984107,0.8783038839564496
57,0.0298,29.19497152631087,0.8624045783073843
58,0.0297,29.961217913159494,0.8754579545600304
59,0.0300,29.069864948602415,0.8656612554214124
60,0.0298,29.253409264188733,0.8527254617178525
61,0.0299,30.783477407776626,0.8795033742450533
