WARNING:root:Epoch 115, Loss - 0.028690379112958908
WARNING:root:Epoch 116, Loss - 0.028734680265188217
WARNING:root:Epoch 117, Loss - 0.028681447729468346
WARNING:root:Epoch 118, Loss - 0.02863161452114582
WARNING:root:Epoch 119, Loss - 0.02851836569607258
WARNING:root:Epoch 120, Loss - 0.028829922899603844
WARNING:root:Epoch 121, Loss - 0.028550371527671814
WARNING:root:Epoch 122, Loss - 0.029063325375318527
WARNING:root:Epoch 123, Loss - 0.028635133057832718
WARNING:root:Epoch 124, Loss - 0.028579192236065865
WARNING:root:Epoch 125, Loss - 0.028831325471401215
WARNING:root:Epoch 126, Loss - 0.028685100376605988
WARNING:root:Epoch 127, Loss - 0.028983987867832184
WARNING:root:Epoch 128, Loss - 0.028821708634495735
WARNING:root:Epoch 129, Loss - 0.028591642156243324
WARNING:root:Epoch 130, Loss - 0.028731176629662514
WARNING:root:Epoch 131, Loss - 0.02869599126279354
WARNING:root:Epoch 132, Loss - 0.028478579595685005
WARNING:root:Epoch 133, Loss - 0.028619486838579178
WARNING:root:Epoch 134, Loss - 0.028835158795118332
WARNING:root:Epoch 135, Loss - 0.028438637033104897
WARNING:root:Epoch 136, Loss - 0.028780316933989525
WARNING:root:Epoch 137, Loss - 0.02850850112736225
WARNING:root:Epoch 138, Loss - 0.02870369702577591
WARNING:root:Epoch 139, Loss - 0.028681879863142967
WARNING:root:Epoch 140, Loss - 0.028361337259411812
WARNING:root:Epoch 141, Loss - 0.028534820303320885
WARNING:root:Epoch 142, Loss - 0.028648123145103455
WARNING:root:Epoch 143, Loss - 0.028645843267440796
WARNING:root:Epoch 144, Loss - 0.028775734826922417
WARNING:root:Epoch 145, Loss - 0.02865643799304962
WARNING:root:Epoch 146, Loss - 0.028569795191287994
WARNING:root:Epoch 147, Loss - 0.02866547740995884
WARNING:root:Epoch 148, Loss - 0.028661569580435753
WARNING:root:Epoch 149, Loss - 0.028453193604946136
WARNING:root:Epoch 150, Loss - 0.028660641983151436
WARNING:root:Epoch 151, Loss - 0.028495751321315765
WARNING:root:Epoch 152, Loss - 0.028575362637639046
WARNING:root:Epoch 153, Loss - 0.028419625014066696
WARNING:root:Epoch 154, Loss - 0.028835808858275414
WARNING:root:Epoch 155, Loss - 0.028481697663664818
WARNING:root:Epoch 156, Loss - 0.028414286673069
WARNING:root:Epoch 157, Loss - 0.029052026569843292
WARNING:root:Epoch 158, Loss - 0.028643056750297546
WARNING:root:Epoch 159, Loss - 0.0284911897033453
WARNING:root:Epoch 160, Loss - 0.028463097289204597
WARNING:root:Epoch 161, Loss - 0.028499785810709
